Energy(eV),OscStrength
2.196622524265912871e-03,1.914784001030662209e-11
3.672752651884273606e-03,3.028808133672312740e-08
3.676834485395078216e-03,3.079032208514004923e-08
6.240369273598000109e-03,9.155472482055036550e-13
6.326306260222372586e-03,8.157925802106910561e-13
9.867517190665555521e-03,1.995436216179895554e-05
2.155678434833536994e-02,2.492027788622149013e-07
2.155956787837278246e-02,2.871152915034031789e-07
2.361990182333819840e-02,7.071953037715546499e-08
2.368101657558943640e-02,7.676951621712371055e-08
2.573657218068202412e-02,1.140828113031143029e-08
2.586187156584590988e-02,1.909607934827798504e-07
2.589925595823481044e-02,2.172979755582224724e-08
2.629915657812444477e-02,2.611920496400025872e-06
3.192574603247951698e-02,4.149076247969942223e-07
3.207418378083354976e-02,3.954399227239669820e-07
3.501462026951332462e-02,6.651137998556346112e-09
3.693466739595813175e-02,7.601620338680665372e-07
3.696328155222103340e-02,7.502815934836160823e-07
3.721331247814656934e-02,4.613423755307377023e-08
3.800031928955132504e-02,4.760073954475117433e-06
3.803090024133849029e-02,5.318679516287017348e-06
3.883332348067426026e-02,1.165446952922433654e-06
3.891089690483694186e-02,1.132159220585464538e-06
4.738220781733119835e-02,7.137098601280558632e-05
5.176686281541299089e-02,5.882030061965011361e-06
5.189745737774741768e-02,5.758883822218013584e-06
6.071119397776569143e-02,2.527524426038165960e-07
6.081983638475305098e-02,6.055108384516909921e-05
6.104521636735248113e-02,4.923222402862524915e-09
6.106374006266460791e-02,4.339606429756514191e-06
6.291766594095619947e-02,3.052825772539814509e-10
6.666973749397574200e-02,2.642722962566282884e-03
6.879125508128917932e-02,9.951380786646221707e-08
6.885016119584499994e-02,8.628132847532306222e-08
7.622584679053522050e-02,1.304094621751657680e-05
7.628648675831892212e-02,1.332706345191511866e-05
8.650023108837368024e-02,2.067626028330651471e-06
8.650356537575075444e-02,2.074019101466285821e-06
8.851953457239003509e-02,1.305666673200947818e-04
2.120975744201105406e-01,8.698216661213104153e-07
2.122422831388188214e-01,8.823933339173800617e-07
2.181096234829482672e-01,1.053903830792420184e-06
2.181987463579503073e-01,1.785992782378732995e-06
2.182580326784537561e-01,2.609343106476618275e-06
2.183416165717328716e-01,2.155922702613065036e-06
2.483967831370128554e-01,2.877323668325311078e-10
2.761347278007592054e-01,3.734228017412214573e-06
2.761945141660824277e-01,3.385391561516195437e-06
2.793595769042654386e-01,6.867715697276589118e-09
2.808275212021542067e-01,6.700516614064126969e-05
2.808430558585709447e-01,2.992220679368998538e-06
2.810237501791443826e-01,7.702760401875411974e-04
2.814723302302581942e-01,6.948618116530198601e-08
3.005926396581515281e-01,8.985874897228172649e-04
3.039326734571570765e-01,2.546699533905576738e-05
3.041416946073222660e-01,2.299762411607266576e-05
3.403804840605981208e-01,5.443478348208686136e-04
3.435022876263853497e-01,6.716686356574516677e-10
3.435882850408741862e-01,7.505818206670006524e-10
3.512210645150863897e-01,8.469740148223648540e-03
3.893291140873744727e-01,5.030369258285657858e-06
3.894102119110420257e-01,4.835644780525094507e-06
4.058360883706561562e-01,3.929180519631351690e-08
4.058962708859506496e-01,3.358386632213824524e-08
5.285896729969389307e-01,8.286407703374459865e-02
6.982397437189914458e-01,6.623512727723202627e-05
6.982988191766332786e-01,6.713933770224299595e-05
7.114818918313809970e-01,4.718804529954789308e-03
7.115099273731925189e-01,4.746485655239525772e-03
7.257916955038778983e-01,1.402574460193170758e-06
7.259303547562888648e-01,3.150657698108057089e-06
7.446545438909655257e-01,2.828521003419362523e-02
7.609691191280693046e-01,8.847788415039422422e-07
7.610551212772747043e-01,8.765283901742984802e-07
8.060147084139854812e-01,3.734974357118069337e-03
8.232516416802804216e-01,6.972777152058300720e-09
8.294378961316408727e-01,3.082852150222477456e-06
8.295237719226428164e-01,3.206161531457072325e-06
8.428573615725089008e-01,1.088778851142333665e-02
8.430207915084073633e-01,1.079892476727335217e-02
8.669610397592586448e-01,1.308026338461904491e-02
8.672531979104908251e-01,1.303213713922397009e-02
8.869901629399246090e-01,2.296923041203411157e-04
8.919379423392249651e-01,1.023854224092302812e-05
8.919993217292327969e-01,1.031528711352690139e-05
8.922158284829186936e-01,4.283754375850502555e-07
9.001394255523179622e-01,5.271878365561622447e-03
9.002548124387923512e-01,5.347121598936085442e-03
9.062292751345241149e-01,5.315878741678540208e-03
9.063869949801742765e-01,5.050107595403623834e-03
9.097804255658442640e-01,1.800826218327343722e-06
9.098633999511981374e-01,1.326012907700420236e-06
9.100531583872989438e-01,1.265285545262363329e-06
9.101421486480745227e-01,1.124485397526523367e-06
9.397923670889601899e-01,4.903464060123888246e-03
9.399847656250722716e-01,4.944076042913473495e-03
9.504154561494522202e-01,1.032179668052939965e-06
9.571017563906133452e-01,5.163889902470958056e-04
9.572022200714132012e-01,5.112175152378307073e-04
9.689502202016246901e-01,1.364795419766331314e-03
9.722099757714578461e-01,3.163424125910126971e-06
9.722663378321292349e-01,5.094213426106249557e-07
9.725017597336308439e-01,3.734866916714301582e-07
9.725578524029944161e-01,2.122610853375477103e-06
9.751664424537043185e-01,4.227046049291144337e-04
9.752423934551592843e-01,4.247659930317123234e-04
9.949840901890628642e-01,2.564702072832987217e-07
9.965047282399049910e-01,1.389479230426010727e-05
9.965903120052475028e-01,3.783599982693150579e-06
9.967906535642663268e-01,1.579777460759466845e-05
9.970780805672639913e-01,7.833631201008842016e-07
1.009114642869869849e+00,4.994622458746578696e-04
1.009247310668291764e+00,5.540621369847191632e-04
1.013027064917128017e+00,1.317738941007766873e-03
1.019243626792003754e+00,4.076070451369387176e-04
1.019503226190801026e+00,4.437926719416021679e-04
1.024104407192402144e+00,2.376444539259740712e-07
1.033233130068759387e+00,4.759143237416998815e-05
