Energy(eV),OscStrength
6.339389082599118479e-03,2.183538867830565062e-10
7.629398988641163636e-03,4.027245491208021282e-09
9.242535885820687275e-03,8.033784833478681495e-11
1.032887293356916751e-02,2.472570528279616069e-09
1.057055530118300272e-02,5.230664660383043028e-10
1.090207511461716190e-02,3.589111406476279584e-11
1.134449868371770198e-02,8.839285965972536204e-12
1.244938756319925385e-02,2.157820850454017106e-08
1.272811530489563470e-02,2.382080642121550938e-10
1.426362731944006562e-02,4.955384604429534297e-06
1.606013826915706974e-02,2.946588680045243025e-10
1.724871990806699229e-02,7.892011378444037566e-10
1.734802182731471146e-02,2.857649925109558591e-08
1.817993703992782858e-02,1.423888203118008698e-09
2.105689747397571782e-02,7.096384302898257657e-12
2.264204209691119199e-02,1.341493775129101333e-06
2.523036031179246366e-02,2.899292333259893381e-08
2.538682571792235526e-02,2.275975892820043971e-10
2.603608280076459905e-02,8.622534583393459746e-11
2.783042775034033633e-02,2.610311158610327311e-07
2.872789570921968280e-02,1.633916822423481926e-06
2.985503017366089237e-02,1.034010316187671837e-07
2.996482962196034966e-02,1.443676657522007523e-05
3.028797829114035500e-02,1.011377854872758627e-08
3.374568025422436390e-02,1.214571555714314351e-05
3.509199373554435647e-02,2.035465791085787847e-05
3.689194455411640150e-02,2.660526275444322718e-05
4.040192453757916052e-02,7.221423975129255546e-10
4.137770589618593176e-02,1.148949780153419463e-10
4.239666586041448276e-02,6.038117132549328546e-06
4.525382646787809438e-02,1.059066095566986836e-09
4.531045747606571306e-02,8.167403758728673869e-06
4.623292007541557336e-02,7.328700967184717372e-10
4.830166044965734234e-02,1.365028830286564619e-07
5.544581509676300979e-02,4.100094894003628433e-05
5.624626029368862828e-02,1.291487402107998459e-08
5.763114167440703400e-02,2.397307474561240846e-05
5.941975848396807008e-02,1.535139739261824657e-09
6.012541971891852827e-02,8.985009230913110171e-06
6.158360597321570901e-02,2.258137389678835935e-08
6.176322406990069486e-02,2.918176906003802816e-08
6.329659736827354666e-02,1.080078003487541983e-09
6.420604632359891428e-02,4.459411191758339624e-09
6.433934960000288472e-02,2.800462775590940456e-06
6.691516734222156815e-02,2.336546507579074316e-06
6.836751451819221559e-02,3.823539340576198955e-05
6.870639260605013177e-02,6.883652467531774474e-09
6.982074429060122767e-02,6.706019134111606749e-06
7.089841332802172824e-02,5.310052754525881838e-09
7.168529748489843589e-02,5.574002012174467409e-07
7.207076680835908244e-02,1.345979257939351430e-07
7.444643267473535775e-02,9.160050356955955976e-06
7.586854895061130588e-02,6.434819985645966506e-08
7.615345358133039644e-02,3.539360617475556079e-07
7.788914813853725638e-02,1.883472840014135493e-07
7.870496385605806056e-02,9.795838084284602927e-11
8.054238019894111034e-02,2.758321527532656007e-05
8.163083005781142376e-02,1.858173377935501823e-07
8.214600773578817350e-02,5.545987991423504355e-09
8.692939915125014183e-02,1.265397748835128909e-05
8.723089680949625002e-02,2.457340334848817170e-07
8.919107768177758633e-02,7.092453918461786200e-08
9.009983759712658635e-02,7.806694938156616815e-08
9.274019792043555754e-02,8.161074564648769622e-05
9.327980142774103256e-02,1.078898027236351517e-06
9.392836669989745868e-02,4.915495568455542611e-08
9.567064741821812435e-02,1.756289482256586298e-05
9.813698543499781157e-02,2.895212745407813542e-06
1.006365703532789840e-01,8.344271069224270045e-07
1.033850432336816949e-01,2.199536314257747303e-05
1.034931458931348663e-01,5.710425352874923468e-07
1.051029918962668869e-01,1.000806268140963105e-07
1.080484268666926373e-01,2.979935336073623558e-08
1.144095977266881975e-01,1.646035555413764064e-06
1.146107522572551024e-01,7.247903468331762787e-05
1.156552780693546056e-01,7.944226655708622703e-08
1.180398223402349261e-01,1.459985110563432340e-04
1.221501516986632230e-01,4.015267276608221722e-08
1.273677589696034784e-01,1.403114896600327142e-04
1.274122976188988288e-01,5.330282762857285820e-06
